Wavelength (nm),Averaged
1085.21,0.000735215
1085.206,0.000738963
1085.202,0.000708573
1085.198,0.000753258
1085.194,0.000745851
1085.19,0.00074254
1085.186,0.000749135
1085.182,0.000761939
1085.178,0.000765016
1085.174,0.000757955
1085.17,0.000776218
1085.166,0.000777367
1085.162,0.000786721
1085.158,0.000792039
1085.154,0.000813167
1085.15,0.000819188
1085.146,0.000814105
1085.142,0.000830514
1085.138,0.00083854
1085.134,0.00084739
1085.13,0.000855221
1085.126,0.000860634
1085.122,0.000870059
1085.118,0.000869348
1085.114,0.00087797
1085.11,0.000885355
1085.106,0.000901564
1085.102,0.000901596
1085.098,0.00091736
1085.094,0.00089287
1085.09,0.000917094
1085.086,0.000929148
1085.082,0.000937911
1085.078,0.000937489
1085.074,0.000957221
1085.07,0.000975231
1085.066,0.00098108
1085.062,0.000997351
1085.058,0.001000113
1085.054,0.001007027
1085.05,0.001017972
1085.046,0.001037843
1085.042,0.001030391
1085.038,0.001037138
1085.034,0.001066855
1085.03,0.001065627
1085.026,0.001064341
1085.022,0.00109153
1085.018,0.00107792
1085.014,0.00107271
1085.01,0.001096008
1085.006,0.001099458
1085.002,0.001124843
1084.998,0.00112838
1084.994,0.001145544
1084.99,0.001153625
1084.986,0.001169432
1084.982,0.00117671
1084.978,0.001187512
1084.974,0.001215382
1084.97,0.001230251
1084.966,0.001248946
1084.962,0.001248445
1084.958,0.001251053
1084.954,0.001253577
1084.95,0.001269253
1084.946,0.001301177
1084.942,0.001295515
1084.938,0.001306447
1084.934,0.001326949
1084.93,0.001324438
1084.926,0.001338296
1084.922,0.001346939
1084.918,0.001384139
1084.914,0.001388223
1084.91,0.001403639
1084.906,0.001411801
1084.902,0.001424152
1084.898,0.001442366
1084.894,0.001455279
1084.89,0.001468179
1084.886,0.001480432
1084.882,0.001494687
1084.878,0.001514137
1084.874,0.001533749
1084.87,0.001531726
1084.866,0.001550774
1084.862,0.00155873
1084.858,0.001582496
1084.854,0.001596318
1084.85,0.001599164
1084.846,0.001617255
1084.842,0.001642134
1084.838,0.001655254
1084.834,0.001685753
1084.83,0.001692084
1084.826,0.001735107
1084.822,0.001737177
1084.818,0.001768553
1084.814,0.001782425
1084.81,0.001818768
1084.806,0.001841859
1084.802,0.001847122
1084.798,0.001869334
1084.794,0.001881098
1084.79,0.001883771
1084.786,0.00189845
1084.782,0.001909682
1084.778,0.001939226
1084.774,0.00194728
1084.77,0.001962937
1084.766,0.00199844
1084.762,0.002013545
1084.758,0.002045936
1084.754,0.002069779
1084.75,0.002081983
1084.746,0.002105976
1084.742,0.00212806
1084.738,0.002173402
1084.734,0.0022
1084.73,0.002221794
1084.726,0.00224341
1084.722,0.002266031
1084.718,0.002291444
1084.714,0.002312291
1084.71,0.00233065
1084.706,0.002367705
1084.702,0.002376676
1084.698,0.002393984
1084.694,0.002427972
1084.69,0.002463948
1084.686,0.002487042
1084.682,0.002497598
1084.678,0.00254215
1084.674,0.002552639
1084.67,0.002600967
1084.666,0.00264628
1084.662,0.00267906
1084.658,0.002711845
1084.654,0.00274366
1084.65,0.002773313
1084.646,0.002824767
1084.642,0.00284655
1084.638,0.002875038
