#    ncycle     time           dt             m1             m2             x              y              z              vx             vy             vz             
                   0        0.000000e+00        1.829278e+00        2.852110e+33        2.790900e+30       -3.500590e+11       -2.079870e-09        0.000000e+00       -1.526915e-13       -1.136989e-09        0.000000e+00
                 665        1.001451e+03        1.896330e+00        2.852110e+33        2.790900e+30       -3.500590e+11       -1.137231e-06        0.000000e+00       -1.596415e-10       -1.126341e-09        0.000000e+00
                1302        2.000673e+03        1.855983e+00        2.852110e+33        2.790900e+30       -3.500590e+11       -2.248481e-06        0.000000e+00       -3.187584e-10       -1.094500e-09        0.000000e+00
                1725        3.001693e+03        2.865094e+00        2.852110e+33        2.790900e+30       -3.500590e+11       -3.320261e-06        0.000000e+00       -4.783287e-10       -1.041295e-09        0.000000e+00
                2055        4.001508e+03        3.105650e+00        2.852110e+33        2.790900e+30       -3.500590e+11       -4.326095e-06        0.000000e+00       -6.375846e-10       -9.669516e-10        0.000000e+00
                2376        5.000344e+03        3.100531e+00        2.852110e+33        2.790900e+30       -3.500590e+11       -5.247040e-06        0.000000e+00       -6.483993e-10       -8.773787e-10        0.000000e+00
                2698        6.001501e+03        3.111075e+00        2.852110e+33        2.790900e+30       -3.500590e+11       -6.083979e-06        0.000000e+00       -5.592653e-10       -7.967798e-10        0.000000e+00
                3020        7.001522e+03        3.104260e+00        2.852110e+33        2.790900e+30       -3.500590e+11       -6.845358e-06        0.000000e+00       -4.702339e-10       -7.281479e-10        0.000000e+00
                3342        8.001893e+03        3.109497e+00        2.852110e+33        2.790900e+30       -3.500590e+11       -7.544299e-06        0.000000e+00       -3.811704e-10       -6.713651e-10        0.000000e+00
                3663        9.000656e+03        3.112669e+00        2.852110e+33        2.790900e+30       -3.500590e+11       -8.191387e-06        0.000000e+00       -2.922501e-10       -6.265210e-10        0.000000e+00
                3984        1.000006e+04        3.114487e+00        2.852110e+33        2.790900e+30       -3.500590e+11       -8.799996e-06        0.000000e+00       -2.032729e-10       -5.934973e-10        0.000000e+00
                4306        1.100267e+04        3.114412e+00        2.852110e+33        2.790900e+30       -3.500590e+11       -9.383377e-06        0.000000e+00       -1.140101e-10       -5.722777e-10        0.000000e+00
                4627        1.200242e+04        3.115820e+00        2.852110e+33        2.790900e+30       -3.500590e+11       -9.949866e-06        0.000000e+00       -2.500285e-11       -5.629969e-10        0.000000e+00
                4948        1.300236e+04        3.115637e+00        2.852110e+33        2.790900e+30       -3.500590e+11       -1.051314e-05        0.000000e+00        6.402243e-11       -5.655788e-10        0.000000e+00
                5269        1.400203e+04        3.113192e+00        2.852110e+33        2.790900e+30       -3.500590e+11       -1.108478e-05        0.000000e+00        1.530223e-10       -5.800207e-10        0.000000e+00
                5590        1.500134e+04        3.113122e+00        2.852110e+33        2.790900e+30       -3.500590e+11       -1.167659e-05        0.000000e+00        2.419908e-10       -6.063102e-10        0.000000e+00
                5911        1.600070e+04        3.113480e+00        2.852110e+33        2.790900e+30       -3.500590e+11       -1.230065e-05        0.000000e+00        3.309646e-10       -6.444530e-10        0.000000e+00
                6232        1.700017e+04        3.113694e+00        2.852110e+33        2.790900e+30       -3.500590e+11       -1.296883e-05        0.000000e+00        4.199472e-10       -6.944534e-10        0.000000e+00
                6554        1.800279e+04        3.113751e+00        2.852110e+33        2.790900e+30       -3.500590e+11       -1.369532e-05        0.000000e+00        5.092105e-10       -7.565222e-10        0.000000e+00
                6875        1.900109e+04        3.109367e+00        2.852110e+33        2.790900e+30       -3.500590e+11       -1.448645e-05        0.000000e+00        5.980887e-10       -8.301753e-10        0.000000e+00
                7197        2.000250e+04        3.110720e+00        2.852110e+33        2.790900e+30       -3.500590e+11       -1.535988e-05        0.000000e+00        6.872446e-10       -9.159408e-10        0.000000e+00
                7519        2.100239e+04        3.070433e+00        2.852110e+33        2.790900e+30       -3.500590e+11       -1.632041e-05        0.000000e+00        5.697293e-10       -1.002037e-09        0.000000e+00
